Date,adjclose,adjclose_1d,adjclose_2d,adjclose_3d,adjclose_7d,adjclose_14d,target
2013-02-06,14.089822769165039,14.104923248291016,13.626788139343262,13.97491455078125,13.858154296875,15.591381072998047,14.508769035339355
2013-02-07,14.508769035339355,14.089822769165039,14.104923248291016,13.626788139343262,14.11816692352295,15.486330032348633,14.718244552612305
2013-02-08,14.718244552612305,14.508769035339355,14.089822769165039,14.104923248291016,14.073803901672363,15.403770446777344,14.871630668640137
2013-02-11,14.871630668640137,14.718244552612305,14.508769035339355,14.089822769165039,14.032523155212402,15.550724029541016,14.498854637145996
2013-02-12,14.498854637145996,14.871630668640137,14.718244552612305,14.508769035339355,13.97491455078125,15.835381507873535,14.471278190612793
2013-02-13,14.471278190612793,14.498854637145996,14.871630668640137,14.718244552612305,13.626788139343262,13.878795623779297,14.45826244354248
2013-02-14,14.45826244354248,14.471278190612793,14.498854637145996,14.871630668640137,14.104923248291016,13.551620483398438,14.259018898010254
2013-02-15,14.259018898010254,14.45826244354248,14.471278190612793,14.498854637145996,14.089822769165039,13.858154296875,14.25374698638916
2013-02-19,14.25374698638916,14.259018898010254,14.45826244354248,14.471278190612793,14.508769035339355,14.11816692352295,13.908553123474121
2013-02-20,13.908553123474121,14.25374698638916,14.259018898010254,14.45826244354248,14.718244552612305,14.073803901672363,13.82209587097168
2013-02-21,13.82209587097168,13.908553123474121,14.25374698638916,14.259018898010254,14.871630668640137,14.032523155212402,13.969286918640137
2013-02-22,13.969286918640137,13.82209587097168,13.908553123474121,14.25374698638916,14.498854637145996,13.97491455078125,13.721077919006348
2013-02-25,13.721077919006348,13.969286918640137,13.82209587097168,13.908553123474121,14.471278190612793,13.626788139343262,13.912271499633789
2013-02-26,13.912271499633789,13.721077919006348,13.969286918640137,13.82209587097168,14.45826244354248,14.104923248291016,13.775928497314453
2013-02-27,13.775928497314453,13.912271499633789,13.721077919006348,13.969286918640137,14.259018898010254,14.089822769165039,13.677698135375977
2013-02-28,13.677698135375977,13.775928497314453,13.912271499633789,13.721077919006348,14.25374698638916,14.508769035339355,13.339010238647461
2013-03-01,13.339010238647461,13.677698135375977,13.775928497314453,13.912271499633789,13.908553123474121,14.718244552612305,13.01612377166748
2013-03-04,13.01612377166748,13.339010238647461,13.677698135375977,13.775928497314453,13.82209587097168,14.871630668640137,13.359769821166992
2013-03-05,13.359769821166992,13.01612377166748,13.339010238647461,13.677698135375977,13.969286918640137,14.498854637145996,13.189961433410645
2013-03-06,13.189961433410645,13.359769821166992,13.01612377166748,13.339010238647461,13.721077919006348,14.471278190612793,13.342415809631348
2013-03-07,13.342415809631348,13.189961433410645,13.359769821166992,13.01612377166748,13.912271499633789,14.45826244354248,13.3777437210083
2013-03-08,13.3777437210083,13.342415809631348,13.189961433410645,13.359769821166992,13.775928497314453,14.259018898010254,13.56831169128418
2013-03-11,13.56831169128418,13.3777437210083,13.342415809631348,13.189961433410645,13.677698135375977,14.25374698638916,13.27579402923584
2013-03-12,13.27579402923584,13.56831169128418,13.3777437210083,13.342415809631348,13.339010238647461,13.908553123474121,13.273314476013184
2013-03-13,13.273314476013184,13.27579402923584,13.56831169128418,13.3777437210083,13.01612377166748,13.82209587097168,13.401914596557617
2013-03-14,13.401914596557617,13.273314476013184,13.27579402923584,13.56831169128418,13.359769821166992,13.969286918640137,13.74772834777832
2013-03-15,13.74772834777832,13.401914596557617,13.273314476013184,13.27579402923584,13.189961433410645,13.721077919006348,14.121435165405273
2013-03-18,14.121435165405273,13.74772834777832,13.401914596557617,13.273314476013184,13.342415809631348,13.912271499633789,14.083318710327148
2013-03-19,14.083318710327148,14.121435165405273,13.74772834777832,13.401914596557617,13.3777437210083,13.775928497314453,14.008639335632324
2013-03-20,14.008639335632324,14.083318710327148,14.121435165405273,13.74772834777832,13.56831169128418,13.677698135375977,14.028779983520508
